chompyyy#2229,0,1000
Tripklopsis#1920,15,1100
ggbyers#7732,21,0
pauleebe#3957,34,1100
EstiPesti#6900,0,1279
HolyHandGrenade#9531,0,1313
Fluffydragon#7084,20,1328
Jesus420#6320,0,1337
Molibo13#9954,18,1364
BrendanL#4812,22,1372
ThomasFHG#5246,0,1442
SEPOY GUY#5098,0,1496
Nightwing_107#9338,20,1500
Hiver#6844,21,1522
lcomontenegro#2631,24,1548
FitzBro#9038,0,1550
MS#1467,33,1550
yayomfg#2101,22,1550
Brochit#2264,31,1569
martin#5389,26,1578
GKShaman#1286,21,1600
Evoked#6176,0,1600
cheeesemonger#6704,19,1600
ImSoloDoloMan#4177,0,1600
FrankTh3Tank95#8053,21,1610
Purple#8192,25,1620
Peachrocks#5514,30,1623
Shaun#5242,0,1637
Oprah#6145,24,1640
Doppelsolna#6261,25,1700
coxinga#3538,22,1713
Stanleo#9677,0,1720
Black_Duck#6909,28,1724
Kugelwilli#4652,25,1728
Zanerre#8833,31,1733
Guusjes4liv#2366,23,1739
abe#2475,23,1740
Adjeking#3418,40,1760
Matt#3271,30,1770
Genesis#0955,25,1800
boisenberry#0810,25,1800
n0eL#6983,33,1800
smolen#2194,35,1800
challenger_marco#8536,26,1800
The7apples#7916,23,1850
yayoshi#3505,31,1869
carp#5947,29,1874
enki_#0336,30,1875
brutalglory#5248,28,1882
MaxMagous#3353,28,1900
Misha1#0586,27,1900
Hosky#8249,28,1908
MRT44#8992,29,1920
Keaton#3947,46,1931
A_Singh#1951,30,1950
sircallen#1517,31,1950
david#6673,28,1950
Narida#6549,32,1953
Herbiemaster#1674,29,1970
Knarloc#8062,26,1983
roberto#0549,0,2012
JaiLeD#9326,28,2050
Kyo_3z#9606,30,2059
antz_is_here#6963,31,2080
Taddy#0618,28,2100
wop#7118,33,2100
don_artie#2656,32,2200
aykin#6177,40,2200
Kaister#5974,34,2250
theonlybaus#5720,33,2272
WickedCossack#1242,33,2300
Kaiserklein#2520,47,0
